COG	Cat
COG0483	G
COG0524	G
COG0574	G
COG0579	G
COG0580	G
COG0588	G
COG0637	G
COG0662	G
COG0676	G
COG0696	G
COG0698	G
COG0738	G
COG0800	G
COG0837	G
COG1015	G
COG1023	G
COG1064	G
COG1069	G
COG1070	G
COG1080	G
COG1082	G
COG1085	G
COG1105	G
COG1109	G
COG1129	G
COG1134	G
COG1172	G
COG1175	G
COG1216	G
COG1263	G
COG1264	G
COG1299	G
COG1312	G
COG1440	G
COG1445	G
COG1447	G
COG1449	G
COG1455	G
COG1472	G
COG1482	G
COG1486	G
COG1494	G
COG1501	G
COG1523	G
COG1543	G
COG1554	G
COG1593	G
COG1621	G
COG1626	G
COG1638	G
COG1640	G
COG1653	G
COG1682	G
COG1803	G
COG1819	G
COG1820	G
COG1830	G
COG1850	G
COG1869	G
COG1874	G
COG1877	G
COG1879	G
COG1892	G
COG1904	G
COG1929	G
COG1980	G
COG2017	G
COG2079	G
COG2115	G
COG2120	G
COG2133	G
COG2140	G
COG2152	G
COG2159	G
COG2160	G
COG2182	G
COG2190	G
COG2211	G
COG2213	G
COG2220	G
COG2271	G
COG2273	G
COG2301	G
COG2342	G
COG2376	G
COG2379	G
COG2407	G
COG2513	G
COG2610	G
COG2704	G
COG2706	G
COG2721	G
COG2723	G
COG2730	G
COG2731	G
COG2814	G
COG2861	G
COG2893	G
COG2942	G
COG2971	G
COG3001	G
COG3010	G
COG3037	G
COG3090	G
COG3179	G
COG3250	G
COG3265	G
COG3280	G
COG3281	G
COG3325	G
COG3345	G
COG3347	G
COG3386	G
COG3387	G
COG3394	G
COG3395	G
COG3405	G
COG3408	G
COG3414	G
COG3429	G
COG3444	G
COG3459	G
COG3469	G
COG3507	G
COG3509	G
COG3525	G
COG3533	G
COG3534	G
COG3537	G
COG3588	G
COG3594	G
COG3622	G
COG3623	G
COG3635	G
COG3661	G
COG3664	G
COG3669	G
COG3693	G
COG3709	G
COG3715	G
COG3716	G
COG3717	G
COG3718	G
COG3730	G
COG3731	G
COG3732	G
COG3734	G
COG3769	G
COG3775	G
COG3822	G
COG3833	G
COG3836	G
COG3839	G
COG3855	G
COG3866	G
COG3867	G
COG3868	G
COG3892	G
COG3934	G
COG3936	G
COG3940	G
COG3954	G
COG3957	G
COG3958	G
COG3959	G
COG3962	G
COG3979	G
COG4095	G
COG4124	G
COG4130	G
COG4154	G
COG4193	G
COG4209	G
COG4211	G
COG4213	G
COG4214	G
COG4225	G
COG4284	G
COG4451	G
COG4468	G
COG4573	G
COG4580	G
COG4632	G
COG4668	G
COG4724	G
COG4806	G
COG4809	G
COG4813	G
COG4833	G
COG4975	G
COG4993	G
COG5017	G
COG5026	G
COG5263	G
COG5297	G
COG5309	G
COG5368	G
COG5434	G
COG5498	G
COG5521	G
COG5542	G
COG0129	G E
COG0235	G E
COG1363	G E
COG0477	G E P R
COG0697	G E R
COG0391	G H
COG1635	G H
COG1840	G H
COG3961	G H R
COG2074	G I
COG4677	G I
COG3684	G P
COG0001	H
COG0007	H
COG0011	H
COG0029	H
COG0043	H
COG0054	H
COG0061	H
COG0095	H
COG0108	H
COG0111	H
COG0113	H
COG0117	H
COG0132	H
COG0142	H
COG0156	H
COG0157	H
COG0161	H
COG0163	H
COG0171	H
COG0181	H
COG0190	H
COG0192	H
COG0196	H
COG0212	H
COG0214	H
COG0237	H
COG0259	H
COG0262	H
COG0276	H
COG0285	H
COG0294	H
COG0302	H
COG0303	H
COG0307	H
COG0311	H
COG0314	H
COG0315	H
COG0320	H
COG0321	H
COG0325	H
COG0327	H
COG0340	H
COG0351	H
COG0352	H
COG0368	H
COG0373	H
COG0379	H
COG0382	H
COG0407	H
COG0408	H
COG0413	H
COG0414	H
COG0422	H
COG0432	H
COG0447	H
COG0452	H
COG0476	H
COG0499	H
COG0502	H
COG0510	H
COG0521	H
COG0602	H
COG0611	H
COG0619	H
COG0635	H
COG0669	H
COG0720	H
COG0746	H
COG0801	H
COG0807	H
COG0819	H
COG0853	H
COG0854	H
COG1010	H
COG1011	H
COG1019	H
COG1056	H
COG1057	H
COG1060	H
COG1072	H
COG1165	H
COG1232	H
COG1239	H
COG1240	H
COG1268	H
COG1270	H
COG1339	H
COG1402	H
COG1424	H
COG1427	H
COG1429	H
COG1441	H
COG1469	H
COG1478	H
COG1488	H
COG1492	H
COG1521	H
COG1539	H
COG1541	H
COG1546	H
COG1548	H
COG1564	H
COG1575	H
COG1587	H
COG1612	H
COG1634	H
COG1641	H
COG1648	H
COG1701	H
COG1731	H
COG1763	H
COG1767	H
COG1797	H
COG1809	H
COG1812	H
COG1821	H
COG1829	H
COG1865	H
COG1891	H
COG1893	H
COG1903	H
COG1907	H
COG1909	H
COG1920	H
COG1962	H
COG1964	H
COG1977	H
COG1981	H
COG1985	H
COG1995	H
COG2022	H
COG2038	H
COG2045	H
COG2054	H
COG2068	H
COG2073	H
COG2082	H
COG2087	H
COG2091	H
COG2096	H
COG2098	H
COG2099	H
COG2104	H
COG2107	H
COG2109	H
COG2138	H
COG2145	H
COG2154	H
COG2226	H
COG2227	H
COG2236	H
COG2240	H
COG2241	H
COG2242	H
COG2243	H
COG2266	H
COG2329	H
COG2510	H
COG2875	H
COG2896	H
COG2918	H
COG2941	H
COG2960	H
COG2978	H
COG3154	H
COG3161	H
COG3165	H
COG3172	H
COG3201	H
COG3252	H
COG3445	H
COG3572	H
COG3585	H
COG3601	H
COG3840	H
COG3859	H
COG4016	H
COG4017	H
COG4018	H
COG4019	H
COG4032	H
COG4054	H
COG4055	H
COG4056	H
COG4057	H
COG4058	H
COG4059	H
COG4060	H
COG4061	H
COG4062	H
COG4063	H
COG4064	H
COG4138	H
COG4139	H
COG4143	H
COG4145	H
COG4206	H
COG4218	H
COG4256	H
COG4547	H
COG4635	H
COG4720	H
COG4721	H
COG4732	H
COG4822	H
COG5031	H
COG5146	H
COG5398	H
COG5424	H
COG5590	H
COG5598	H
COG5746	H
COG5747	H
COG5748	H
COG5749	H
COG5753	H
COG5754	H
COG5755	H
COG5759	H
COG0109	H I
COG1154	H I
COG3697	H I
COG1120	H P
COG1348	H P
COG2710	H P
COG3253	H P
COG1169	H Q
COG0561	H R
COG0596	H R
COG0667	H R
COG1335	H R
COG2141	H R
COG0020	I
COG0183	I
COG0204	I
COG0236	I
COG0245	I
COG0318	I
COG0331	I
COG0332	I
COG0344	I
COG0365	I
COG0416	I
COG0439	I
COG0446	I
COG0511	I
COG0558	I
COG0575	I
COG0584	I
COG0623	I
COG0657	I
COG0671	I
COG0688	I
COG0736	I
COG0743	I
COG0761	I
COG0764	I
COG0777	I
COG0818	I
COG0821	I
COG0824	I
COG0825	I
COG1012	I
COG1022	I
COG1024	I
COG1028	I
COG1075	I
COG1183	I
COG1211	I
COG1213	I
COG1250	I
COG1257	I
COG1260	I
COG1267	I
COG1307	I
COG1398	I
COG1443	I
COG1502	I
COG1560	I
COG1562	I
COG1577	I
COG1607	I
COG1608	I
COG1646	I
COG1657	I
COG1679	I
COG1786	I
COG1788	I
COG1804	I
COG1884	I
COG1924	I
COG1946	I
COG1947	I
COG1960	I
COG1968	I
COG2030	I
COG2031	I
COG2057	I
COG2067	I
COG2084	I
COG2134	I
COG2185	I
COG2230	I
COG2246	I
COG2267	I
COG2272	I
COG2898	I
COG2930	I
COG2937	I
COG3000	I
COG3007	I
COG3124	I
COG3239	I
COG3240	I
COG3243	I
COG3255	I
COG3356	I
COG3407	I
COG3425	I
COG3475	I
COG3675	I
COG3777	I
COG3832	I
COG3882	I
COG3884	I
COG3890	I
COG3963	I
COG4247	I
COG4281	I
COG4395	I
COG4539	I
COG4553	I
COG4667	I
COG4670	I
COG4706	I
COG4770	I
COG4781	I
COG4799	I
COG4850	I
COG4894	I
COG4981	I
COG4982	I
COG5050	I
COG5083	I
COG5379	I
COG0304	I Q
COG3433	I Q
COG1597	I R
COG2303	I R
COG0008	J
COG0009	J
COG0012	J
COG0013	J
COG0016	J
COG0017	J
COG0018	J
COG0023	J
